,eval_category,Num_digits,Num_numbers,model_name,accuracy
0,addition,2,2,gpt-4-turbo-preview,100.0
1,addition,2,3,gpt-4-turbo-preview,100.0
2,addition,2,4,gpt-4-turbo-preview,100.0
3,addition,2,5,gpt-4-turbo-preview,100.0
4,addition,3,2,gpt-4-turbo-preview,100.0
5,addition,3,3,gpt-4-turbo-preview,100.0
6,addition,3,4,gpt-4-turbo-preview,100.0
7,addition,3,5,gpt-4-turbo-preview,100.0
8,addition,4,2,gpt-4-turbo-preview,100.0
9,addition,4,3,gpt-4-turbo-preview,100.0
10,addition,4,4,gpt-4-turbo-preview,90.0
11,addition,4,5,gpt-4-turbo-preview,100.0
12,addition,5,2,gpt-4-turbo-preview,100.0
13,addition,5,3,gpt-4-turbo-preview,100.0
14,addition,5,4,gpt-4-turbo-preview,100.0
15,addition,5,5,gpt-4-turbo-preview,100.0
16,addition,6,2,gpt-4-turbo-preview,100.0
17,addition,6,3,gpt-4-turbo-preview,100.0
18,addition,6,4,gpt-4-turbo-preview,100.0
19,addition,6,5,gpt-4-turbo-preview,90.0
20,addition,7,2,gpt-4-turbo-preview,100.0
21,addition,7,3,gpt-4-turbo-preview,100.0
22,addition,7,4,gpt-4-turbo-preview,100.0
23,addition,7,5,gpt-4-turbo-preview,90.0
24,addition,8,2,gpt-4-turbo-preview,100.0
25,addition,8,3,gpt-4-turbo-preview,100.0
26,addition,8,4,gpt-4-turbo-preview,100.0
27,addition,8,5,gpt-4-turbo-preview,90.0
28,multiply,2,2,gpt-4-turbo-preview,100.0
29,multiply,2,3,gpt-4-turbo-preview,60.0
30,multiply,2,4,gpt-4-turbo-preview,80.0
31,multiply,2,5,gpt-4-turbo-preview,40.0
32,multiply,3,2,gpt-4-turbo-preview,60.0
33,multiply,3,3,gpt-4-turbo-preview,30.0
34,multiply,3,4,gpt-4-turbo-preview,0.0
35,multiply,3,5,gpt-4-turbo-preview,0.0
36,multiply,4,2,gpt-4-turbo-preview,10.0
37,multiply,4,3,gpt-4-turbo-preview,0.0
38,multiply,4,4,gpt-4-turbo-preview,0.0
39,multiply,4,5,gpt-4-turbo-preview,0.0
40,multiply,5,2,gpt-4-turbo-preview,0.0
41,multiply,5,3,gpt-4-turbo-preview,0.0
42,multiply,5,4,gpt-4-turbo-preview,0.0
43,multiply,5,5,gpt-4-turbo-preview,0.0
44,multiply,6,2,gpt-4-turbo-preview,0.0
45,multiply,6,3,gpt-4-turbo-preview,0.0
46,multiply,6,4,gpt-4-turbo-preview,0.0
47,multiply,6,5,gpt-4-turbo-preview,0.0
48,multiply,7,2,gpt-4-turbo-preview,0.0
49,multiply,7,3,gpt-4-turbo-preview,0.0
50,multiply,7,4,gpt-4-turbo-preview,0.0
51,multiply,7,5,gpt-4-turbo-preview,0.0
52,multiply,8,2,gpt-4-turbo-preview,0.0
53,multiply,8,3,gpt-4-turbo-preview,0.0
54,multiply,8,4,gpt-4-turbo-preview,0.0
55,multiply,8,5,gpt-4-turbo-preview,0.0
56,substraction,2,2,gpt-4-turbo-preview,100.0
57,substraction,2,3,gpt-4-turbo-preview,100.0
58,substraction,2,4,gpt-4-turbo-preview,100.0
59,substraction,2,5,gpt-4-turbo-preview,100.0
60,substraction,3,2,gpt-4-turbo-preview,100.0
61,substraction,3,3,gpt-4-turbo-preview,100.0
62,substraction,3,4,gpt-4-turbo-preview,100.0
63,substraction,3,5,gpt-4-turbo-preview,100.0
64,substraction,4,2,gpt-4-turbo-preview,100.0
65,substraction,4,3,gpt-4-turbo-preview,100.0
66,substraction,4,4,gpt-4-turbo-preview,100.0
67,substraction,4,5,gpt-4-turbo-preview,100.0
68,substraction,5,2,gpt-4-turbo-preview,100.0
69,substraction,5,3,gpt-4-turbo-preview,100.0
70,substraction,5,4,gpt-4-turbo-preview,90.0
71,substraction,5,5,gpt-4-turbo-preview,100.0
72,substraction,6,2,gpt-4-turbo-preview,100.0
73,substraction,6,3,gpt-4-turbo-preview,100.0
74,substraction,6,4,gpt-4-turbo-preview,80.0
75,substraction,6,5,gpt-4-turbo-preview,100.0
76,substraction,7,2,gpt-4-turbo-preview,100.0
77,substraction,7,3,gpt-4-turbo-preview,100.0
78,substraction,7,4,gpt-4-turbo-preview,80.0
79,substraction,7,5,gpt-4-turbo-preview,80.0
80,substraction,8,2,gpt-4-turbo-preview,100.0
81,substraction,8,3,gpt-4-turbo-preview,100.0
82,substraction,8,4,gpt-4-turbo-preview,100.0
83,substraction,8,5,gpt-4-turbo-preview,90.0
